Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202008,August 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,,,,,,,0,,24,,,0
HS,2020,202008,August 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",,,,,,,0,,3377,,,0
HS,2020,202007,July 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",,,,,,,0,,10921,,,0
HS,2020,202007,July 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,57,Carpets and other textile floor coverings,,,,,,,0,,7,,,0
HS,2020,202006,June 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,,,,,,,0,,7,,,0
HS,2020,202006,June 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",,,,,,,0,,7915,,,0
HS,2020,202006,June 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,57,Carpets and other textile floor coverings,,,,,,,0,,1519,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,242,,,0
HS,2020,202004,April 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",,,,,,,0,,1637,,,0
HS,2020,202001,January 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",,,,,,,0,,5690,,,0
HS,2020,202001,January 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,57,Carpets and other textile floor coverings,,,,,,,0,,60,,,0
HS,2020,202002,February 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,1739,,,0
HS,2020,202002,February 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",,,,,,,0,,1578,,,0
HS,2020,202009,September 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",,,,,,,0,,65,,,0
HS,2020,202002,February 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,57,Carpets and other textile floor coverings,,,,,,,0,,16,,,0
HS,2020,202009,September 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,57,Carpets and other textile floor coverings,,,,,,,0,,226,,,0
HS,2020,202002,February 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",,,,,,,0,,1481,,,0
HS,2020,202003,March 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,1044,,,0
HS,2020,202003,March 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",,,,,,,0,,4230,,,0
HS,2020,202006,June 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,,,,,,,0,,3185,,,0
HS,2020,202006,June 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,18,Cocoa and cocoa preparations,,,,,,,0,,11387,,,0
HS,2020,202005,May 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",,,,,,,0,,893,,,0
HS,2020,202008,August 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,01,Animals; live,,,,,,,0,,1111,,,0
HS,2020,202008,August 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",,,,,,,0,,7999,,,0
HS,2020,202008,August 2020,2,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",,,,,,,0,,328,,,0
